date,avgtempUSA,avgtempGermany,avgtempGreenland,avgtempVenezuela,avgtempDemoCongo,avgtempIndonesia,avgtempArgentina,avgtempNewZealand,avgtempSouthAfrica,avgtempGlobal
1855,8.194533333333336,7.7668333333333335,-19.113899999999997,24.488200000000003,23.232218749999998,25.202250000000003,13.814910714285716,9.59483333333333,16.648777777777777,14.894016666666671
1860,8.45455,7.8031,-19.076966666666657,24.453849999999992,23.146108108108102,,13.971783333333338,10.124266666666664,16.78577586206897,14.851183333333335
1865,8.371533333333334,8.4247,-19.640216666666667,24.77571666666667,,25.311750000000004,14.362866666666664,10.280649999999998,17.052033333333334,15.054949999999995
1870,8.473616666666667,7.821083333333333,-18.590600000000006,24.6928,,25.170466666666666,14.014883333333325,10.176800000000002,16.819071428571426,15.007166666666667
1875,8.469133333333332,7.730266666666668,-18.705050000000004,24.98516666666666,23.362962264150944,25.28563333333333,14.275983333333334,10.1772,16.7518,15.107166666666664
1880,8.204799999999999,8.034016666666668,-19.553449999999998,24.353900000000003,23.05968333333333,25.216333333333345,14.150716666666677,10.044583333333334,16.857135593220338,14.989783333333333
1885,8.29095,7.412733333333335,-19.78364999999999,24.630133333333337,23.28541666666667,25.235616666666665,13.951650000000004,9.841066666666665,16.999283333333327,14.922633333333334
1890,8.338333333333333,7.715650000000002,-19.58851666666666,24.389616666666665,23.19535000000001,25.11048333333333,14.05308333333333,10.248800000000001,16.79226666666666,14.898816666666667
1895,8.279766666666665,8.002483333333332,-19.649833333333337,24.69449999999999,23.523783333333334,25.321100000000005,14.5387,9.835599999999998,16.924299999999995,15.014033333333334
1900,8.429683333333333,8.038516666666668,-18.861750000000004,24.930533333333333,23.62656666666667,25.356950000000015,14.609233333333334,9.647766666666667,16.848733333333335,14.964516666666666
1905,8.466766666666667,7.818433333333336,-19.0793,24.64916666666667,23.309866666666668,25.474249999999998,14.30096666666666,9.940150000000004,16.70138333333333,14.897983333333336
1910,8.61308333333333,8.455166666666667,-19.345783333333326,24.7075,23.687016666666672,25.392149999999994,14.439933333333334,10.12005,17.04813333333333,14.891450000000003
1915,8.307416666666667,7.919216666666667,-19.087916666666672,24.711550000000003,23.499383333333345,25.373533333333334,14.558466666666668,10.411950000000001,16.972683333333336,14.964283333333329
1920,8.6722,8.061533333333335,-18.973283333333335,24.684016666666665,23.624216666666673,25.419799999999988,14.246866666666664,10.356566666666664,17.113683333333334,15.04156666666667
1925,8.8383,8.1736,-17.518700000000006,24.992016666666668,23.750450000000008,25.591383333333336,14.629549999999993,10.272416666666665,17.340466666666664,15.110666666666669
1930,9.139016666666667,8.401016666666669,-17.18075,25.008216666666662,23.82101666666667,25.69716666666666,14.57488333333333,10.099300000000001,17.418966666666666,15.149233333333331
1935,9.03496666666667,8.584099999999998,-17.338333333333335,24.963999999999988,23.815466666666666,25.688516666666672,14.678616666666665,10.504916666666666,17.139499999999998,15.236183333333328
1940,9.03685,7.648449999999998,-17.832983333333335,25.451033333333346,24.000000000000004,25.818933333333334,14.744833333333336,10.263400000000003,17.440000000000005,15.375233333333336
1945,8.811333333333332,8.792233333333336,-17.86306666666667,25.055916666666675,23.956216666666663,25.881883333333327,14.866933333333337,10.405533333333336,17.525200000000005,15.277516666666667
1950,8.998683333333336,8.4665,-18.253216666666663,25.228616666666664,23.83783333333334,25.931750000000005,14.802900000000003,10.451950000000002,17.27,15.293083333333334
1955,8.827783333333333,8.169649999999999,-18.18823333333334,25.27861666666667,23.76543333333333,25.889100000000006,14.4333,10.791450000000005,17.175283333333336,15.275399999999996
1960,8.772483333333332,8.084016666666665,-18.03651666666667,25.39905,23.743350000000003,25.852866666666667,14.819483333333332,10.576699999999999,17.524649999999998,15.298233333333336
1965,8.671350000000002,8.311383333333334,-18.433500000000002,25.33223333333333,23.767500000000002,25.908983333333342,15.019416666666666,10.400850000000002,17.46606666666667,15.281800000000004
1970,8.658833333333336,8.376866666666668,-18.949183333333337,25.157733333333326,23.86285,26.006783333333335,14.7801,10.99135,17.477400000000003,15.279683333333335
1975,8.735016666666667,8.476683333333334,-18.54671666666667,25.352899999999998,23.923800000000004,25.92538333333334,14.978383333333337,10.6262,17.394783333333333,15.298616666666666
1980,9.024000000000003,8.485949999999999,-18.923999999999996,25.495849999999997,24.113966666666673,26.0029,15.00125,10.655266666666671,17.729883333333337,15.442866666666669
1985,9.184616666666667,8.432616666666666,-18.330449999999995,25.385366666666663,24.132000000000005,26.144849999999998,15.245566666666669,11.076233333333334,17.829933333333333,15.449299999999997
1990,9.241833333333336,9.239783333333332,-18.86056666666667,25.53381666666667,24.14285,26.14125,15.133833333333333,10.504066666666665,17.910799999999995,15.536349999999999
1995,9.393283333333335,8.849816666666667,-17.786183333333334,25.755316666666673,24.390683333333342,26.340966666666677,15.26175,11.070366666666665,17.877100000000002,15.660533333333337
2000,9.734816666666665,9.459166666666667,-17.068433333333335,25.75163333333334,24.428050000000006,26.38586666666668,15.253033333333333,10.941983333333331,17.949483333333326,15.758233333333331
2005,9.558633333333336,9.566650000000001,-17.009216666666667,25.891316666666672,24.555416666666684,26.32976666666667,15.262483333333336,10.997933333333334,17.928749999999997,15.8137
2010,10.077177777777779,9.057977272727273,-16.299840909090918,25.852204545454548,24.409636363636363,26.37436363636364,15.203340909090912,11.058613636363637,17.796068181818185,15.84695
